Dimension,Verbatims
Canales y servicios,No me dio satisfaccion. Yo llame porque no podua hacer una transferencia. Fallaba el sistema de transferencia llame para decirlo y ni me lo reconocieron. Me atiende ron bien pero no me lo solucionaron.
Calidad de atencion ,Debe mejorar la atencion a los clientes.
Disp. automaticos,Porque siempre funcionan muy bien y siempre tienen dinero.
Canales y servicios,Porque las chicas todas te solucionan los problemas.
Calidad de atencion ,Porque yo estoy yendo hace rato y no tuve problemas y siempre la atendieron bien.
Disp. automaticos,Esta bueno es facil de manejar y opera bien y es uno de los mejores.
Calidad de atencion ,La atencion es mala la gente te atiende de mala gana no estan dispuestos y no tienen paciencia con la gente mayor.
Productos,Tiene los costos muy altos de las tarjetas de credito.
Calidad de atencion ,Nunca tuve problema
Canales y servicios,Sin problemas y buena gente solucionaron mi problema
Canales y servicios,Atencion rapida y resolucion del problema
Disp. automaticos,Porque a mu siempre me dio los papeles que yo pedua y si alguna se trababa siempre hubo alguien para solucionarlo. Nunca le falto dinero
Canales y servicios,Cambiaron la parte de operacion por internet me costo adaptarme mas practico
Canales y servicios,Cambiaron y le gustaba mas antes le costo adaptarse
Disp. automaticos,Funciona bien nunca falta plata en las operaciones me ha ido bien
Calidad de atencion ,Nunca en la vida tuve problemas todo bien no reclamo nada nunca me llego un cargo de mas
Canales y servicios,Porque la experiencia que he tenido de comercio exterior no atiende nadie le cuesta comunicarse.
Tiempos de espera,El horario hay muchos clientes y me tardo
Productos,Esta bien mi lumite
Disp. automaticos,Nunca tengo problemas siempre tiene plata siempre funciona
Procesos,Tiene mucha burocracia
Canales y servicios,Todo bien muy rapida
Tiempos de espera,Va mucha gente y se tarda mucho
Tiempos de espera,Esperamos mucho la ˙ltima vez. Necesitamos sacar plata y tardaron 1:40/ 2hs en atender desde las cajas
Disp. automaticos,Las veces que fui nunca tuve problema. Siempre hubo plata
Canales y servicios,Siempre la atendieron de lo mas bien. Explican a mu y al marido sin problema la tarjeta de mi marido no habua venido la factura. Avisaron que la factura estaba impaga.
Canales y servicios,En general no le pongo nota maxima a nada pero la atencion es bastante bien. Cuando llame fue para avisar por un viaje no se podua hacer por homebanking entonces llame pero me dijeron que me tenua que comunicar con visa. Ellos dijeron que no tenuan nada que ver el banco con visa.
Canales y servicios,Alguna vez llamo y no le contestaron
Canales y servicios,Mas luneas siempre estan ocupadas hay que esperar mucho para que atiendan
Canales y servicios,Es muy buena te atienden rapido te atienden bien y son concisos si te pueden solucionar el tema te lo solucionan son rapidos y concisos no hay problema con eso es uno de los mejores aspectos que tiene el banco
Productos,Mejores convenios con otras cosas con otras empresas todas las tarjetas tienen beneficios por ej. Cuotas en s˙per en tal lado 6 cuotas el HSBC no tiene muchos beneficios salvo q quieras ir a comprar un caballo de polo puede q te den 12 cuotas pero si t queres ir de viaje tenes solo 1 cuota o en el s˙per tambien es media limitada a un par de cosas
Canales y servicios,Te vuelvo a repetir siempre son muy cordiales me mandan la boleta son amables y me resolvieron la consulta
Productos,Tiene extensiones con mi tarjeta a mi familia tienen descuentos por eso le pongo un 10
Canales y servicios,Siempre bien muy buena educacion no son pesados. Que algunos son densos pero ellos no. Le resuelven todo la ˙ltima vez llame tenua que pasar una suma de dolares a pesos y la chica me lo resolvio muy bien. Yo uso mas internet.
Productos,Una porquerua las condiciones que el banco me pone para adquirir una tarjeta de credito.
Calidad de atencion ,Hable poco con el call center hablo directamente con la sucursal o la parte perfecta no tengo problema
Canales y servicios,Cuando se comunico con la banca indico el problema y le solucionaron de manera efectiva no tuvo problemas
Productos,Lo que pasa es que nosotros usamos la tarjeta nomas pago el resumen y listo. Nunca tuve problema. No se otra cosa que tarjeta de credito
Disp. automaticos,Porque todas las veces que voy funcionan muy bien en el pago. No hago otra operacion mas que ir a pagar las cuentas.
Tiempos de espera,En Olavarrua la atencion en venta es poco agil
Tiempos de espera,Hace muchos aÒos que trabajo con este banco yo estoy en ovalarua las esperas a veces en las sucursales es poco personal
Canales y servicios,Muy agil es muy segura por el sistema de clave siempre resolvu todo
Disp. automaticos,No tuve problema el banco de la sucursal de Olavarrua siempre tiene efectivo no tardan en reponer dinero
Tiempos de espera,Agilidad en la atencion al cliente.
Tiempos de espera,Agilidad en la atencion al p˙blico.
Productos,Con los puntos y no pago tanto para renovar
Canales y servicios,Creo que es el problema que tienen todos los bancos en base a la atencion telefonica. Yo quiero hablar con una persona y me dicen marque 1 2 3 y nunca se llega a la operadora.
Disp. automaticos,Que tenga bien los cajeros alguno siempre esta descompuesto no funciona. Por lo menos el de la sucursal Urquiza pasa seguido. Tambien que haya mas cajeros funcionando. En ese son 5 cajeros pero con mucha suerte andan 3
Canales y servicios,Mayor calidad en el men˙ la atencion es regular deberua ser de mayor rapidez mas de 5 minutos espero para que me atiendan una vez que atienden tambien demoran bastante
Calidad de atencion ,Yo no la utilizo mucho pero cuando la utilizando ha sido buena y mi hija la utiliza y le ha ido bien no  ha tenido problema.
Canales y servicios,Por la amabilidad. Atienden bien resuelven problemas.
Canales y servicios,Mas que nada porque nosotros no operamos con la banca telefonica sea mas sencillo. Quizas tiene que tener un par de trabas pero eso termina complicando al cliente real pero quizas algo mas sencillo. El tema de las claves numero de documento y demas hacen muy largo la operatoria.
Productos,Tiene muy amplia la gama de comercios adheridos. Lo uso para consumos mercados y dentro de los radios que nos movemos y el tipo de compra que realizamos esta muy bien. Tiene la particularidad de que tiene varios canales de pago no hace falta que vaya hasta al banco y nunca hay una sucursal en la esquina de tu casa por lo tanto con otros canales de pago que utilizo mas. Yo la abono por pago facil.
Canales y servicios,Te atienden no llamo mucho al banco es muy raro. La vez que llame me atendieron bien tienen buen trato la cordialidad que el lo que la gente le necesita que la gente necesita que le expliquen que le indiquen los pasos a seguir
Canales y servicios,Hacia los reclamos vua telefonica y no me respondua nunca no sabua si mi reclamo habua sido pasado.
Canales y servicios,Dan muchas vueltas uno tiene que estar llamando a un n˙mero y al otro y la opcion tal y la opcion tal media hora para comunicarse una vez que me atiende s˙per bien para consultar por un monto que figuraba en la tarjeta
Calidad de atencion ,La atencion al p˙blico en todos los sectores porque en lo general sobre todo en la sucursal como que les molesta que les estes preguntando si uno tiene una duda o si capaz vas a pedir cambio siempre es un problema incluso para hacer un deposito siempre es un problema
Canales y servicios,Y la atencion es buena y eficaz una vez que pasa el mes ellos me llaman para recordar
Canales y servicios,La vez que lo he utilizado le funciono perfectamente habua tenido un problema con la clave y lo solucionaron
Canales y servicios,Me atendieron rapido suelen solucionar mis problemas pero no suelo poner un 10 en las encuestas
Marca,Porque es bastante estable solido solo por eso
Canales y servicios,Porque la pagina es muy ˙til la utilidad porque es practica
Canales y servicios,Porque yo me manejo todo por homebanking me parece bastante ˙til. Puedo usarlo facil en el acceso nunca tengo inconvenientes con eso
Canales y servicios,Es rapida aporta todo lo que necesito tengo el home banking no necesito movilizarme ir al banco ni nada
Canales y servicios,Me resolvieron el tema por el que llame
Calidad de atencion ,Porque tiene muy buena atencion al cliente no he tenido problema para mu esta bueno
Disp. automaticos,Todo perfecto no he tenido ning˙n problema
Productos,Yo utilizo mucho la tarjeta pago en cuotas no hay problemas muy buen limite
Disp. automaticos,Bueno en realidad es igual de bueno
Calidad de atencion ,Muy buen servicio
Calidad de atencion ,Si lo recomiendo por mi experiencia ha sido muy buena
Productos,Por los muchos intereses que tiene no la he usado por los muchos intereses que tiene
Productos,Porque a traves de la pension que cobro no me da prestamo hace 14 aÒos que cobro esta pension no me consideran como0 una clienta
Calidad de atencion ,Quiero que me consideren como una clienta me permiten pedir prestamo solo funciona como deposito de la pension tengo que ir cada tres meses para hacer el bono sino no me depositan
Disp. automaticos,Siempre tiene plata me es mas confiable que ir al banco en persona me da el bono de sueldo a tiempo
Canales y servicios,Porque me resuelta practico no tiene muchas vueltas no me hacen cambiar las contraseÒas a cada rato puedo hacer varias operaciones con el homebanking. No tienen que mejorar nada
Calidad de atencion ,Atencion al cliente atienden de mala gana
Canales y servicios,Es mas facil consultar desde casa ve todos los movimientos de  la cuenta es mas accesible.
Disp. automaticos,Porque com˙nmente cuando retiramos dinero del cajero nos figura el descuento pero no retiramos nada siempre tengo problemas con el cajero.
Productos,Porque me hacen 1cuota sin interes
Calidad de atencion ,Hasta ahora no he tenido inconveniente
Canales y servicios,Por claridad en el formato de la pagina
Canales y servicios,No tiene que cambiar nada es muy rapida y accesible
Tiempos de espera,Tardan mucho en explicar
Productos,Tuve un problema con el banco Galicia con el seguro familiar
Canales y servicios,Es facil y confiable la pagina es muy sencilla de manejar
TCR,Cumple con todo lo que promete y las reglas estan claras
Marca,Me parece serio el banco es correcto de la forma en que se maneja no tengo ninguna queja
Productos,El ˙nico que le hago del banco es puntualmente el uso de la tarjeta si hubo un problema que para renovar las tarjetas es bastante elevado la costa
Productos,Las promociones los convenios de descuentos con ciertos locales que concurro que tiene son buenos
Tiempos de espera,Me molesta la lentitud al atender 2 personas para atender y hay mucha gente en cualquier horario como que el tiempo del cliente no es valido.
Canales y servicios,Home es muy engorroso mucha clave
Productos,Mas descuentos en general en supermercados. No he tenido problemas
Canales y servicios,Muchas claves es lento no me gusta como esta diseÒada hay diseÒos mas simples.
Canales y servicios,Uno puede hacer todo por home fondo inversion transacciones funcionan perfectamente. Evita ir a la sucursal y puedo estar en casa.
Canales y servicios,Muy buena la atencion excelente te atiende
Calidad de atencion ,Primero porque es el banco donde la atencion es muy buena
Productos,Por mi practica y el uso esta bien ponerle un 7y no un diez
Layout sucursal,Si fuera mas amplio. Mas amplio es que tuviera mas oficinas.
Canales y servicios,Que tenga ms promociones y mas financiacion.
Canales y servicios,Es practica de facil uso. Sencilla para llegar y manejarme con las cuentas
Productos,Mejorar los puntos quiero. Por ejemplo el LAN pass es mas clara simple y se puede recaudar mas puntos
Canales y servicios,Porque es facil uso. Se accede rapidamente y no te dejan en espera y es de mucha ayuda
Productos,Con la tarjeta de debite tuve algunos inconvenientes al querer renovar cosas de funcionamientos algunos tramites
Disp. automaticos,Muchas veces los cajeros no tienen papel para imprimir el comprobante y a veces no tienen dinero
Procesos,Tuve que hacer el mismo tramite dos veces no era claro
Canales y servicios,En internet es claro tiene buena promociones frances Gold
Canales y servicios,Es claro y sencillo todo lo que quiero hacer en la pagina lo puedo hacer tramites.
Canales y servicios,La atencion telefonica. En alg˙n aspecto debe mejorar la atencion telefonica. Mala interpretacion de los reclamos con respecto a las tarjetas. Retirar tarjetas y le dieron una direccion y despues le modificaron la direccion
Canales y servicios,La rapidez en el sistema deberua mejorar para tener la nota maxima.
Marca,No lo considero poco recomendable. Es un banco confiable. No es un banco al cual no le recomendarua a la gente que no valla.
Canales y servicios,Es mas comoda buscarlo por internet porque cuando llamaba no era muy efectiva la atencion.
Calidad de atencion ,Por todos los servicios que brindan son excelentes nunca he tenido ning˙n tipo de problemas
Productos,Porque esta la mayorua de comercio adheridos y tiene descuentos en una gran cantidad de marcas y tiene muchusimos descuentos
Canales y servicios,Porque te brinda toda la informacion necesaria en el estado de cuenta es s˙per completo y puedes pagar todo por la pagina
Canales y servicios,Porque la pagina es eficiente rapida y clara me llegan actualizaciones promociones y yo las aprovecho
Productos,Porque la tarjeta funciona bien es aceptada en todas partes y opera con mucha facilidad con la tarjeta no tengo ning˙n inconveniente cuando opero con ella
Marca,Se siente seguro
Layout sucursal,Seguridad siempre opero con Galicia
Canales y servicios,Siempre lo me atienden inmediato
Productos,Es muy accesible para sacar prestamos per tiene mucho interes.
Productos,El tema de los puntos. Que tenga un mejor sistema de puntos.
Canales y servicios,Es facil de usar. Es facil de acceder y buscar la informacion que uno necesita.
Productos,Las promociones. Mas descuentos en los comercios.
Canales y servicios,Porque te atienden bien. Porque atienden rapido.
Canales y servicios,Porque el sistema es amigable es facil se entiende facil entra facil a la pagina no se corta amigables que se entiende facil la pagina
Tiempos de espera,Porque las esperas son muy largasen el sector sucursal
Canales y servicios,Llame a hacer a que me solucionen un problema y no sabuan ni como solucionarlo se levantaron para preguntar acerca de la solucion y no me la dieron nunca me lo solucionaron m dijeron que me acerque a una sucursal y se llamo es porque no me puedo acercar a una para algo esta el call center. Me hicieron esperar mucho hasta que me atendieron.
Disp. automaticos,Hay mas cantidad de cajeros
Marca,Le parece que es bastante solido porque nunca tuvo problemas en ning˙n local.
Canales y servicios,Por que siempre recibio un excelente servicio
Tiempos de espera,Siempre el servicio es muy rapido en la sucursal.
Canales y servicios,Mejorar no se. Esta bastante rapido y me resuelven lo que yo quiero.
Canales y servicios,Para mi es agil. Yo el uso diariamente para hacer operaciones es accesible y simple
Disp. automaticos,Perfecto tiempo correcto de transaccion.
Disp. automaticos,Porque solo fue a un cajero y me fui
Productos,Porque no tuve problema nunca porque todo bien porque yo respeto
Calidad de atencion ,Todo bien no puedo decir otra cosa
Canales y servicios,Es bastante clara por ejemplo para hacer transferencias es mas facil que el Galicia que usa mi esposo el sistema es mas facil
Disp. automaticos,Los cajeros automaticos a veces estan daÒados en la calle coronel duas a veces estan cargados y no se pueden hacer deposito porque no cuenta los billetes pero si me ayudan mucho
Canales y servicios,Porque me han dificultado el sistema varias veces. Genere la clave pero me aparecio bloqueado el usuario. Pregunte y me dijeron que se bloqueo solo. Volvu a generar todo gestionarlo. Estoy a casi un mes sin tener home banking. Hoy lo pude habilitar y espero poder usar la aplicacion
Canales y servicios,El tema del tiempo cuando uno se comunica puede estar uno mas de 20 minutos en espera una vez que me atiendan este todo bastante bien
Productos,Mas beneficios antes tenua mas y ahora tiene menos la calidad de beneficios
Canales y servicios,Funciona bien esta todo mas claro no tengo inconveniente
Productos,Nunca tuve problemas ademas tiene descuentos
Canales y servicios,Todavua es medio confuso pero lo cambiaron y mejoro un poco
Calidad de atencion ,Porque 10 es exquisito nunca se cumple la atencion en cuanto a la gente que trabaja el sistema que opera es bueno a veces es por el producto
Calidad de atencion ,Yo no tengo problema para operar pero  a veces decae en la atencion
Canales y servicios,Bien me parece bien la atencion
Disp. automaticos,Era muy dificultoso el acceso mas facil acceso
Calidad de atencion ,Me atienden siempre bien porque soy cliente de varios aÒos
Canales y servicios,Es clara funciona algunas transferencias de home banking rebotan pero me ha ocurrido muy pocas veces
Disp. automaticos,Las veces que lo use funciono bien nunca aparecio nada raro
Calidad de atencion ,No tengo ning˙n problema voy siempre compro y no hay problema
Productos,Si vos siempre tenes el monton que necesitas podes ir y usarla sin ning˙n problema tenes un monton de descuentos ciertos duas y en ciertos lugares cuando tengo plata la puedo usar
Calidad de atencion ,No se si deberua mejorar siempre haya algo para mejorar no tuve nunca una mala experiencia mi experiencia es fantastica con el banco no tengo algo puntual para decirte ahora para que mejore si le pongo un 10 es genial y me conformo con so
Canales y servicios,Siempre fui facil de usarlo porque yo que no entiendo anda de computadoras lo entiendo. Solo le saco un punto porque a veces se le cae el sistema al homebanking pero despues esta bien. No debe mejorar en nada no tuve problemas
Canales y servicios,Siempre tuve excelente atencion que me atiendan bien que me ayuden en el problema que tenga en el momento me atendieron rapido.
Productos,Porque cuando la uso o cuando la necesito no tengo problemas y cuando la solicite no me pidieron muchos requisitos
Canales y servicios,Porque cuando llamas por una facturacion es mucha la demora para atender
Disp. automaticos,Porque el lumite de extraccion es de 8mil en otro banco no y siempre tienen plata los cajeros
Canales y servicios,Tiene mucha demora para contactarse con un operador
Disp. automaticos,Estan disponibles en todos lados y son faciles de operar las pantalla van guidando
Canales y servicios,Me atendieron siempre bien dan soluciones que uno busca un tema de consulta por creditos
Productos,No he tenido problema estan en todos lados uno va a consumir y tiene disponibles las tarjetas en todos los negocios. Por las promociones el programa quiero
Canales y servicios,Tambien es muy sencillo tienen todas las pantallas que van guiando
Productos,Anda bien.
Canales y servicios,Funciona bien.
TCR,Atencion anonima no da los beneficios que ofrece
Disp. automaticos,El deposito no me gusta por los sobres solo retirar
Calidad de atencion ,No es personalizada la atencion
Canales y servicios,Me parece excelente y me parece muy bien fue rapido y me gusta
Calidad de atencion ,Porque puede dar las cosas bien con su extension y me parece barbaro
Disp. automaticos,Porque es como un cajero como cualquier otro pero siempre tiene plata
Canales y servicios,Porque la atencion fue rapida y me solucionaron mis problemas
Productos,Porque las reciben en todos lados
Canales y servicios,Porque se pueden hacer todas las operaciones que uno necesita podes hasta imprimir res˙menes y ver todas las consultas
Disp. automaticos,Funciona todo bien no esperamos tanto es rapido todo.
Calidad de atencion ,Toda la gente es amable del banco la gente que te atienden cuando llegas que te dan los n˙meros y haces la cola. Por la atencion de la gente al p˙blico estan atentos en todo.
Calidad de atencion ,Toda la gente son amables del banco la gente que te atienden cuando llegas que te dan los n˙meros y haces la cola.
Canales y servicios,No voy mas al pago facil. Toco madera que no me pase ahora que estoy diciendolo pero nunca tuve problemas con un pago. Pago a la hora que quiero. Es una maravilla el servicio de homebanking. Te da libertad `podes disponer de pagar en el momento que quieras como quieras. No se mas lo que es ir a pagar a otro lugar. No recibo mas facturas porque veo todo en pago mis cuentas.
Canales y servicios,Para poder comunicarse lo que tarda en comunicarse muchas claves para ingresar. Es engorroso
Canales y servicios,Se cuelga mucho a veces no es por internet es por la pagina no se si colapsa pero hay momentos que se tilda bastante. No entro mucho pero cada vez que entro me suele pasar
Calidad de atencion ,Porque hay buena atencion
Disp. automaticos,Porque mis primos dicen que son barbaros
Calidad de atencion ,Porque tiene buenos empleados muy simpaticos. Los de la caja y el cajero
Tiempos de espera,Porque esperare mucho tiempo para usar el cajero habua una sola persona atendiendo.
Canales y servicios,No logro comunicarme generalmente no se si funciona durante el horario de la tarde tengo que terminar yendo de todos modos a la sucursal.
Disp. automaticos,Porque tecnologicamente esta bastante avanzado permite hacer transacciones a cualquier hora
Disp. automaticos,La mayorua de las veces se traba de 5 veces que voy al cajero 2 o 3 no funciona se traba o no devuelve el ticket.
Canales y servicios,Porque veo mis consumos de tarjeta puedo hacer transferencias puedo ver mis saldos.
Disp. automaticos,Con el cajero automatico lo deben hacer mas sencillo en vez de complicarla. Porque suponerte vos estabas pagando una tarjeta con un cajero de ellos te tomaba todo y ahora lo reemplazaron y pones el dinero directamente. El teclado no funciona y las colas son mas largas
Canales y servicios,Fue rapida clara y me solucionaron el problema
Disp. automaticos,Porque osea en la sucursal Quilmes donde me manejo yo hay muchos cajeros y siempre hay uno disponible en cambio en cambio en Berazategui hay pocos cajeros hay 4 nada mas y se acumula gente
Disp. automaticos,A veces no andan eso es com˙n o que no tengan plata. Y donde tendruan que haber 3 o 4 hay uno o dos
Canales y servicios,Porque no pude solucionar telefonicamente un error que era administrativo del banco. No me brindaron una solucion. La atencion fue correcta y amable desde lo formal pero no fue eficiente. Muy simpaticos pero no me solucionaron nada
Calidad de atencion ,Porque tuve un problema me intimaron  cerrar la cuenta por un error administrativo de ellos. Tuve que ir en persona al banco un dua antes de irme de vacaciones. Por telefono no sabuan nada.
Disp. automaticos,Nunca he tenido ning˙n problema. Ademas las operaciones que hacemos de extraccion nunca hemos tenido inconvenientes ni nos han duplicado las tarjetas
Canales y servicios,Porque habitualmente hago transferencias y esas cosas y es muy difucil que se cuelgue o se encuentre fuera de servicio
Canales y servicios,Porque siempre te derivan a un agente de la cuenta eminent te piden datos o a un ejecutivo de cuentas y demora mucho esa comunicacion. Teniendo una cuenta eminent deberua ser mas personalizada. Tiene un servicio similar a las cuentas comunes.
Canales y servicios,Porque no te dan buena afirmacion cuando llamas si no te dicen que valla a la sucursal y ellos no ayudan en nada
Disp. automaticos,Porque es un cajero que es rapido hay varios y la gente incluso hay mucha gente tambien pero trabajo con  frances no hay muchas colas.
Productos,Porque nunca tuve problemas en todo sentido la tarjeta la tengo siempre fue tranquilo normal.
Productos,En base al tipo de tarjeta de nosotros que es premier blanca el limite no tenes problemas en los comercios adheridos para poder comprar
Disp. automaticos,Porque nunca se queda sin plata el servicio se agilizo bastante el movimiento. Son claros y comodos para utilizar la gente mayor le es facil utilizar
Canales y servicios,Se renueva constante es facil y es clara en poder manejar cualquiera tramite de la tarjeta.
Canales y servicios,Es medio complicado tiene sus complicaciones renegaba al principio cosas que por ahu el camino a seguir para determinadas operaciones no estaba claro los sistema andas barbaro el temas es todas las claves que tenes y los cambios periodicos de esas a lo ˙ltimo le agarras la mano
Canales y servicios,Porque te hacen esperar todo el tiempo lo mismo muy poco el resultado no recuerdo bien pero ha estado bien lo resolutivo
Disp. automaticos,Una vez me trago la tarjeta porque no la retire enseguida y te la retiene por cuestiones de seguridad me gustan mas los cajeros que  no te chupan la tarjeta prefiero me gusta mas la que te la lee en el momento y te la devuelve porque soy colgado. Siempre hizo lo que le pedu el problema por ahu es la reposicion del dinero pocas veces tuve que recurrir a otros cajeros de otros bancos
Calidad de atencion ,Para mejorar tienen la atencion en las
Disp. automaticos,Porque una vez se me quedo trabada la tarjeta y fue muy facil recuperarla y cada vez que voy los cajeros siempre tienen plata.
Productos,Que tenga mas beneficios en comercios que ofrezcan planes en cuotas con las tarjetas y que los intereses son mas bajos
Tiempos de espera,Deberua ser mas rapida la atencion en lunea de cajas tiene solo dos o tres cajas funcionando.
Disp. automaticos,Funcionan en general. Son modernos y tienen pantalla tactil.
Canales y servicios,Los operadores son rapidos en la atencion y son eficientes y amables.
Productos,Tiene buenas promociones.
Calidad de atencion ,Por que me atienden bien el trato es muy excelente
Canales y servicios,Porque me atienden bien porque todo lo que yo necesito me lo solucionan y con un trato excelente
Canales y servicios,Porque esta bastante clara ˙ltimamente le hicieron reformas.
Tiempos de espera,Porque hay mucha espera cuando uno tiene que hacer un tramite (sucursal con nazca cerca de macarino cervantes) hay mucha fila.
Productos,Porque si bien ahora no tengo muchos beneficios he tenido muchos beneficios antes que los he aprovechado por ejemplo en las compras.
Disp. automaticos,Tiene buen servicio a veces estan sin efectivo o se quedan tildados por lo general los fines de semana.
Canales y servicios,Muy buena atencion. Rapidez y precision
Calidad de atencion ,La atencion que tiene es muy buena
Productos,Mas prestamos el tema prestamos como el tema del sueldo a veces no es mucho y no te dan un prestamo acorde a este no es suficiente
Canales y servicios,Muy bueno me gusta uso mucho el home banking para los movimientos
Productos,Son muchos los intereses que estan cobrando es muchusimo
Disp. automaticos,Tienen muchos cajeros es uno de los bancos que mas cajeros tiene
Tiempos de espera,Larga cola interminable generalmente cuando voy siempre hay cola para hacer deposito me hago la idea de perder m i tiempo
Productos,Mas alla de los intereses no tenemos problemas nunca nos atrasamos se puede sacar lo que queremos cuando quiera no te ponen pero sacamos hoy podemos sacar dinero de nuevo
Tiempos de espera,Pero a veces por las largas colas son perdidas de tiempo siempre son interminables
Canales y servicios,Muchas vueltas para solucionar los problemas mucho tiempo
Procesos,Porque a veces tenia problema de envio de resumen de cuentas hoy vino atrasado.
Canales y servicios,Puntualmente mejorar la claves que no se venzan tan rapido es muy corto el lapso y no me d tiempo de ir a sucursal
Productos,Te saca de apuro cuando estoy apurada en farmacias
Canales y servicios,La atencion por internet no me gusta es una cuestion personal.
Calidad de atencion ,No me gustan los cajeros porque prefieren la atencion personalizada.
Canales y servicios,Porque es correcta y responden a lo que uno les plantea.
Procesos,Que envuen todos los res˙menes que quedaron en enviarmelos no he tenido mas problemas.
Calidad de atencion ,Es muy buena la atencion lo poco que he ido tengo caja de ahorro he trabajado bien con ellos
Canales y servicios,Porque no es problematico me dijo que la tarjeta no pago nada ademas de lo que compro con el pago munimo no tengo problemas buena atencion siempre que llame te solucionan los problemas te explican bien
Disp. automaticos,Cuando no esta descompuesto funciona a la perfeccion
Canales y servicios,Porque a veces demora a mu en particular se me corta la sesion no se a otros
Productos,Tiene bastantes descuentos y los uso bastante
Disp. automaticos,Porque al usar no tuve inconvenientes `para lo use me sirvio  el funcionamiento es bueno
Canales y servicios,Porque la  atencion es buena en cuanto a la rapidez...como hace poco consulte para unos servicios de ellos fue muy rapido y claro y me explicaron muy bien
Productos,Porque me otorgaron un buen lumite cupo de manejo de acuerdo a la primera vez que ingrese me otorgaron un credito y para mi importante para ser primera vez
Canales y servicios,Porque para mu siempre me fue muy ˙til y muy claro y voy directo a lo que es preciso y encuentro respuestas
Canales y servicios,Me han llamado por mi hija eran buenos los tratos buena conversacion los chicos trabajan bien la buena charla
Calidad de atencion ,Trabajan muy bien la chica es amable
Canales y servicios,Porque generalmente te llaman porque no te debitaron algo son muy cortantes
Productos,Usamos mucho el Galicia me gusta la cantidad de cuotas las promociones
Tiempos de espera,Mucha gente en la sucursal falta personal para el primer dua del mes mas personal falta
Disp. automaticos,Que tendrua que funcionar de tres anda uno solo
Disp. automaticos,8 Porque depende de como anda a veces andan a veces estan todos que a veces te quedas sin dinero en la sucursal de Quilmes siempre hay problemas con el cajero siempre hay problema los primeros duas de cada mes se quedan sin dinero o a veces no hay sistema o a veces anda uno solo siempre los primeros duas de cada mes despues no tenes problema y hay aparte colas terribles
Productos,Beneficios jueves o viernes o lunes utilizo esos duas para tener los beneficios en eso lo utilizo mucho asu sea en cines o descuentos en supermercados lo utilizo mucho aprovecho mucho los descuentos la uso cuando la necesito y nada mas trato de no usarla tanto para no gastar tenemos la tarjeta de credito a nivel familiar entonces los beneficios los utilizamos todos
Canales y servicios,En mi caso soy muy reacia para usarla en el sentido de que todo lo q sea a nivel computadora no estoy de acuerdo por el tema de los robos de las identidades y de la informacion q uno pueda llegar a poner ahu prefiero ir directamente al banco y que me hagan todo en el  banco aunque me dicen q es todo mas facil y me explican yo prefiero ir al banco soy de la vieja escuela me gusta todo en mano y hacerlo cara a cara se recomienda la pagina porque lo podes hacer en cualquier momento del dua y en tu domicilio es todo mas rapido no tenes que ir y andar
Canales y servicios,Me responden enseguida y lo tengo las 24 horas del dua puede llamar en cualquier momento el mismo beneficio en cualquier momento del dua por ahu hay alguna demorita si estan ocupados los que tienen que atender pero es mucho
Productos,Esta todo bien pero por los intereses por como esta el paus. Porque los aÒos que la uso siempre bien siempre pago bien y no tengo problemas. solo uso la tarjeta
Productos,Me la aceptan en todos lados cuando hago una compra grande se toman medidas de seguridad y me llaman para verificar y tengo buen limite.
Canales y servicios,Siempre puedo ver bien la pagina la abro desde el celular o la computadora puedo ver los movimientos de mi cuenta nunca tuve problemas.
Gestion de consultas,Porque le falta mas respuestas a los clientes a los reclamos hechos de los clientes
Canales y servicios,Porque no tengo ning˙n problema
Canales y servicios,Hemos tenido buena atencion muy buena consultas te resuelven los problemas y te dejan sin ninguna duda
Canales y servicios,La pagina funciona muy bien lo que ellos te dicen por telefono por ejemplo te dicen visite la pagina que podes encontrar los res˙menes de todos los movimientos bancarios y esta todo ahu podes hacer transacciones de cuentas operaciones de distintas cosas ya sea comprar dolares y demas ver los movimientos de cuentas es bastante amplio
Disp. automaticos,Porque fueron contadas las veces que estaban fuera de servicio porque funciona bien siempre estan en servicio siempre deben tener buen mantenimiento generalmente funcionan
Productos,Porque me la reciben en todos lados y siempre encuentro promociones
Disp. automaticos,Voy pago las tarjetas y no tengo problemas. Muy rara vez el cajero esta trabado
Canales y servicios,Deberua ser mas simple porque por ejemplo si yo quiero que mi mama tenga home banking mas alla que manejas las redes sociales es complejo. Tendrua que ser mas especufico. Me confunde la pagina con numero de usuario que lo tenes que cambiar cada tanto creo que son cosas que se tendrua que cambiar un poco. Mi mama desistio por este motivo. Incluso tenua que tener alguien para que le ingrese la clave porque no se la acordaba ponua otra cosa y se te cancela. En ese sentido para la gente que no domina muy bien es complejo.
Canales y servicios,Es rapido no tenes mucha espera. 3 minutos para que me atiendan. Durante la atencion no hubo mucha espera en ese sentido estan muy bien.
Canales y servicios,Le pongo 8 por no ponerle 10 pero no hay nada que tenga que mejorar es clara y simple en el sentido que encuentro la informacion que estoy buscando en el momento
Calidad de atencion ,La gente te atienden son muy amables cordiales serviciales
Canales y servicios,Cuando llame tenua un inconveniente con el telefono. El telefono estaba ocupado y no atendieron. No tenua el tono. Despues fui a la sucursal
Calidad de atencion ,La atencion es muy buena en sucursal 149 en boluvar es excelente. Los chicos no daban mas me atendio el gerente
